"ABSCQ Field of Study",,"ASCED Field of Education",
"1","BUSINESS AND ADMINISTRATION",,
"111","Business Management","080301","Business Management"
"112","Public and Institution Management","080313","Public and Health Care Administration"
,,"090103","Policy Studies"
,,"091101","Justice Administration"
"113","Personnel Management","080303","Human Resource Management"
"114","Hospitality Management","080319","Hospitality Management"
,,"0110101","Hospitality"
"119","Management, n.e.c.","080307","Organisation Management"
,,"080311","International Business"
,,"080315","Project Management"
,,"080321","Farm Management and Agribusiness"
,,"080323","Tourism Management"
,,"080399","Business and Management, n.e.c."
,,"089901","Purchasing, Warehousing and Distribution"
,,"089999","Management and Commerce, n.e.c."
"121","Office Management","080901","Secretarial and Clerical Studies"
,,"080905","Practical Computing Skills"
"122","Keyboarding and Shorthand","080901","Secretarial and Clerical Studies"
,,"080903","Keyboard Skills"
,,"080905","Practical Computing Skills"
"129","Management Support Services, n.e.c.","080901","Secretarial and Clerical Studies"
,,"080905","Practical Computing Skills"
,,"080999","Office Studies, n.e.c."
"131","Wholesale and Retail Sales","080501","Sales"
"132","Marketing","080505","Marketing"
"133","Real Estate","080503","Real Estate"
,,"089903","Valuation"
"134","Tourism","080701","Tourism"
"139","Sales and Marketing, n.e.c.","080311","International Business"
,,"080507","Advertising"
,,"080599","Sales and Marketing, n.e.c."
,,"089903","Valuation"
"141","Accounting","080101","Accounting"
"142","Banking and Finance","081101","Banking and Finance"
,,"081105","Investment and Securities"
"143","Insurance","081103","Insurance and Actuarial Studies"
"149","Financial Services, n.e.c.","081105","Investment and Securities"
,,"081199","Banking, Finance and Related Fields, n.e.c."
"2","HEALTH",,
"211","General Medicine","060101","General Medicine"
,,"060119","General Practice"
"212","Surgery","060103","Surgery"
"213","Psychiatry","060105","Psychiatry"
"214","Obstetrics and Gynaecology","060107","Obstetrics and Gynaecology"
"215","Anaesthesiology","060111","Anaesthesiology"
"216","Pathology","060113","Pathology"
"217","Radiology","060115","Radiology"
"218","Internal Medicine","060109","Paediatrics"
,,"060117","Internal Medicine"
,,"060199","Medical Studies, n.e.c."
"219","Medicine, n.e.c.","019901","Medical Science"
,,"060103","Surgery"
,,"060199","Medical Studies, n.e.c."
"221","Basic Nursing","060301","General Nursing"
"222","Midwifery","060303","Midwifery"
"223","Mothercraft Nursing","060315","Mothercraft Nursing and Family and Child Health Nursing"
"224","Psychiatric Nursing","060305","Mental Health Nursing"
"225","Community Nursing","060307","Community Nursing"
"229","Nursing, n.e.c.","060309","Critical Care Nursing"
,,"060311","Aged Care Nursing"
,,"060313","Palliative Care Nursing"
,,"060315","Mothercraft Nursing and Family and Child Health Nursing"
,,"060399","Nursing, n.e.c."
"231","Pharmacy","019907","Pharmacology"
