"ASCED Level of Education",,"ABSCQ Level of Attainment",
"1","POSTGRADUATE DEGREE LEVEL",,
"111","Higher Doctorate","1","Higher Degree"
"112","Doctorate by Research","1","Higher Degree"
"113","Doctorate by Coursework","1","Higher Degree"
"114","Professional Specialist Qualification at Doctoral Degree Level","1","Higher Degree"
"115","Statement of Attainment at Doctoral Degree Level","0","No correspondence"
"116","Bridging and Enabling Course at Doctoral Degree Level","0","No correspondence"
"121","Master Degree by Research","1","Higher Degree"
"122","Master Degree by Coursework","1","Higher Degree"
"123","Professional Specialist Qualification at Master Degree Level","1","Higher Degree"
"124","Statement of Attainment at Master Degree Level","0","No correspondence"
"125","Bridging and Enabling Course at Master Degree Level","0","No correspondence"
"2","GRADUATE DIPLOMA AND GRADUATE CERTIFICATE LEVEL",,
"211","Graduate Diploma","2","Postgraduate Diploma"
"212","Graduate Qualifying or Preliminary","2","Postgraduate Diploma"
"213","Professional Specialist Qualification at Graduate Diploma Level","2","Postgraduate Diploma"
"214","Statement of Attainment at Graduate Diploma Level","0","No correspondence"
"215","Bridging and Enabling Course at Graduate Diploma Level","0","No correspondence"
"221","Graduate Certificate","2","Postgraduate Diploma"
"222","Professional Specialist Qualification at Graduate Certificate Level","2","Postgraduate Diploma"
"223","Statement of Attainment at Graduate Certificate Level","0","No correspondence"
"224","Bridging and Enabling Course at Graduate Certificate Level","0","No correspondence"
"3","BACHELOR DEGREE LEVEL",,
"311","Bachelor (Honours) Degree","3","Bachelor Degree"
"312","Bachelor (Pass) Degree","3","Bachelor Degree"
"313","Statement of Attainment at Bachelor Degree Level","0","No correspondence"
"314","Bridging and Enabling Course at Bachelor Degree Level","0","No correspondence"
"4","ADVANCED DIPLOMA AND DIPLOMA LEVEL",,
"411","Advanced Diploma","4","Undergraduate Diploma"
"412","Statement of Attainment at Advanced Diploma Level","0","No correspondence"
"413","Associate Degree","0","No correspondence"
"414","Statement of Attainment at Associate Degree Level","0","No correspondence"
"415","Bridging and Enabling Course at Advanced Diploma and Associate Degree Level","0","No correspondence"
"421","Diploma","5","Associate Diploma"
"422","Statement of Attainment at Diploma Level","0","No correspondence"
"423","Bridging and Enabling Course at Diploma Level","0","No correspondence"
"5","CERTIFICATE LEVEL",,
"511","Certificate IV","5","Associate Diploma"
"512","Statement of Attainment at Certificate IV Level","0","No correspondence"
"513","Bridging and Enabling Course at Certificate IV Level","0","No correspondence"
"514","Certificate III","6","Skilled Vocational Qualifications"
"515","Statement of Attainment at Certificate III Level","0","No correspondence"
"516","Bridging and Enabling Course at Certificate III Level","0","No correspondence"
"521","Certificate II","7","Basic Vocational Qualifications"
"522","Statement of Attainment at Certificate II Level","0","No correspondence"
"523","Bridging and Enabling Course at Certificate II Level","0","No correspondence"
"524","Certificate I","0","No correspondence"
"525","Statement of Attainment at Certificate I Level","0","No correspondence"
"6","SECONDARY EDUCATION",,
"611","Year 12","0","No correspondence"
"612","Bridging and Enabling Course at Senior Secondary Level","0","No correspondence"
"613","Year 11","0","No correspondence"
"621","Year 10","0","No correspondence"
"622","Year 9","0","No correspondence"
"623","Year 8","0","No correspondence"
"624","Year 7 (excluding SA)","0","No correspondence"
"7","PRIMARY EDUCATION",,
"711","Year 7 (SA)","0","No correspondence"
"712","Year 6","0","No correspondence"
"713","Year 5","0","No correspondence"
"714","Year 4","0","No correspondence"
"715","Year 3","0","No correspondence"
"716","Year 2","0","No correspondence"
"717","Year 1","0","No correspondence"
"718","Pre-Year 1","0","No correspondence"
"8","PRE-PRIMARY EDUCATION",,
"811","Pre-primary Education","0","No correspondence"
"9","OTHER EDUCATION",,
"911","Non-award Courses in Higher Education","0","No correspondence"
"912","Other Non-award Courses","0","No correspondence"
"991","Statements of Attainment not Identifiable by Level","0","No correspondence"
"992","Bridging and Enabling Courses not Identifiable by Level","0","No correspondence"
"999","Education, n.e.c.","0","No correspondence"

"Source: Australian Bureau of Statistics, Appendix 2, ASCED - ABSCQ Level Correspondence Table 2001"
