"ASCED Field of Education",,"FOSCHEC",
"01","NATURAL AND PHYSICAL SCIENCES",,
"010101","Mathematics","090402","Applied Mathematics"
,,"090403","Pure Mathematics"
,,"090499","Mathematics - Other"
"010103","Statistics","090404","Statistics and Operations Research"
"010199","Mathematical Sciences, n.e.c.","090499","Mathematics - Other"
"010301","Physics","090505","Physics"
"010303","Astronomy","090599","Physical Sciences - Other"
"010501","Organic Chemistry","090502","Chemistry"
"010503","Inorganic Chemistry","090502","Chemistry"
"010599","Chemical Sciences, n.e.c.","090502","Chemistry"
"010701","Atmospheric Sciences","090599","Physical Sciences - Other"
"010703","Geology","090503","Geology"
"010705","Geophysics","090503","Geology"
"010707","Geochemistry","090503","Geology"
"010709","Soil Science","010204","Soil Sciences"
,,"090503","Geology"
"010711","Hydrology","090503","Geology"
"010713","Oceanography","090399","Life, General Sciences - Other"
"010799","Earth Sciences, n.e.c.","030208","Geography"
,,"090503","Geology"
"010901","Biochemistry and Cell Biology","090303","Biochemistry"
,,"090304","Biology"
"010903","Botany","090302","Anatomy"
,,"090305","Botany"
,,"090313","Physiology"
"010905","Ecology and Evolution","090304","Biology"
,,"090306","Environmental Science"
"010907","Marine Science","090304","Biology"
,,"090399","Life, General Sciences - Other"
"010909","Genetics","090304","Biology"
"010911","Microbiology","090311","Microbiology"
"010913","Human Biology","090302","Anatomy"
,,"090304","Biology"
,,"090313","Physiology"
"010915","Zoology","090302","Anatomy"
,,"090313","Physiology"
,,"090314","Zoology"
"010999","Biological Sciences, n.e.c.","030208","Geography"
,,"090304","Biology"
,,"090399","Life, General Sciences - Other"
"019901","Medical Science","070405","Medical Technology"
,,"070501","Medical Science"
"019903","Forensic Science","090399","Life, General Sciences - Other"
"019905","Food Science and Biotechnology","010206","Viticulture and Oenology"
,,"090307","Food Science and Technology"
"019907","Pharmacology","090312","Pharmacology"
"019909","Laboratory Technology","070405","Medical Technology"
,,"090310","Laboratory Techniques (not Medical Technology)"
"019999","Natural and Physical Sciences, n.e.c.","090399","Life, General Sciences - Other"
,,"090599","Physical Sciences - Other"
"02","INFORMATION TECHNOLOGY",,
"020101","Formal Language Theory","090202","Computer Science"
"020103","Programming","090203","Information Systems"
"020105","Computational Theory","090202","Computer Science"
"020107","Compiler Construction","090202","Computer Science"
"020109","Algorithms","090202","Computer Science"
"020111","Data Structures","090202","Computer Science"
"020113","Networks and Communications","090202","Computer Science"
"020115","Computer Graphics","090203","Information Systems"
"020117","Operating Systems","090202","Computer Science"
"020119","Artificial Intelligence","090202","Computer Science"
"020199","Computer Science, n.e.c.","090299","Computer Science, Information Systems-Other"
"020301","Conceptual Modelling","090202","Computer Science"
"020303","Database Management","090203","Information Systems"
"020305","Systems Analysis and Design","090203","Information Systems"
"020307","Decision Support Systems","090203","Information Systems"
"020399","Information Systems, n.e.c.","090299","Computer Science, Information Systems-Other"
"029901","Security Science","090202","Computer Science"
"029999","Information Technology, n.e.c.","090299","Computer Science, Information Systems -Other"
"03","ENGINEERING AND RELATED TECHNOLOGIES",,
"030101","Manufacturing Engineering","060207","Industrial Engineering"
"030103","Printing","060299","Engineering - Other"
"030105","Textile Making","060299","Engineering - Other"
"030107","Garment Making","060299","Engineering - Other"
"030109","Footwear Making","0","No correspondence"
"030111","Wood Machining and Turning","060299","Engineering - Other"
"030113","Cabinet Making","060299","Engineering - Other"
"030115","Furniture Upholstery and Renovation","060299","Engineering - Other"
"030117","Furniture Polishing","060299","Engineering - Other"
"030199","Manufacturing Engineering and Technology,n.e.c.","060299","Engineering - Other"
"030301","Chemical Engineering","060203","Chemical Engineering"
"030303","Mining Engineering","060211","Mining and Minerals Engineering"
"030305","Materials Engineering","060210","Metallurgy"
"030307","Food Processing Technology","090307","Food Science and Technology"
"030399","Process and Resources Engineering, n.e.c.","060299","Engineering - Other"
"030501","Automotive Engineering","060209","Mechanical Engineering"
"030503","Vehicle Mechanics","060209","Mechanical Engineering"
"030505","Automotive Electrics and Electronics","060209","Mechanical Engineering"
"030507","Automotive Vehicle Refinishing","060209","Mechanical Engineering"
"030509","Automotive Body Construction","060209","Mechanical Engineering"
"030511","Panel Beating","060209","Mechanical Engineering"
"030513","Upholstery and Vehicle Trimming","060209","Mechanical Engineering"
"030515","Automotive Vehicle Operations","0","No correspondence"
"030599","Automotive Engineering and Technology, n.e.c.","060209","Mechanical Engineering"
"030701","Mechanical Engineering","060209","Mechanical Engineering"
"030703","Industrial Engineering","060207","Industrial Engineering"
