"ASCED Field of Education",,"FOSCTEC",
"01","NATURAL AND PHYSICAL SCIENCES",,
"010101","Mathematics","090402","Applied Mathematics"
,,"090403","Pure Mathematics"
"010103","Statistics","090404","Statistics, Operations Research"
"010199","Mathematical Sciences, n.e.c.","090499","Mathematics - Other"
"010301","Physics","090505","Physics"
"010303","Astronomy","090599","Physical Sciences - Other"
"010501","Organic Chemistry","090502","Chemistry"
"010503","Inorganic Chemistry","090502","Chemistry"
"010599","Chemical Sciences, n.e.c.","090502","Chemistry"
"010701","Atmospheric Sciences","090599","Physical Sciences - Other"
"010703","Geology","090503","Geology, Earth Sciences"
"010705","Geophysics","090503","Geology, Earth Sciences"
"010707","Geochemistry","090503","Geology, Earth Sciences"
"010709","Soil Science","010204","Soil Sciences"
"010711","Hydrology","090503","Geology, Earth Sciences"
"010713","Oceanography","090315","Marine Science"
"010799","Earth Sciences, n.e.c.","030208","Geography"
"010901","Biochemistry and Cell Biology","090303","Biochemistry"
,,"090304","Biology"
"010903","Botany","090302","Anatomy"
,,"090305","Botany"
"010905","Ecology and Evolution","090304","Biology"
,,"090306","Environmental Science"
"010907","Marine Science","090315","Marine Science"
"010909","Genetics","090304","Biology"
,,"090305","Botany"
,,"090314","Zoology"
"010911","Microbiology","090311","Microbiology, Bacteriology, Virology"
"010913","Human Biology","090302","Anatomy"
,,"090304","Biology"
,,"090313","Physiology"
"010915","Zoology","090302","Anatomy"
,,"090313","Physiology"
,,"090314","Zoology"
"010999","Biological Sciences, n.e.c.","090399","Life, General Sciences - Other"
"019901","Medical Science","070502","Medical Science"
,,"070599","Medical Science, Medicine - Other"
"019903","Forensic Science","090399","Life, General Sciences - Other"
"019905","Food Science and Biotechnology","010206","Viticulture and Oenology"
,,"090307","Food Science"
"019907","Pharmacology","090312","Pharmacology"
"019909","Laboratory Technology","070405","Medical Technology"
,,"090310","Laboratory Techniques"
"019999","Natural and Physical Sciences, n.e.c.","090399","Life, General Sciences - Other"
,,"090599","Physical Sciences - Other"
"02","INFORMATION TECHNOLOGY",,
"020101","Formal Language Theory","090202","Computer Science"
"020103","Programming","090203","Computer-based Information Science"
"020105","Computational Theory","090202","Computer Science"
"020107","Compiler Construction","090202","Computer Science"
"020109","Algorithms","090202","Computer Science"
"020111","Data Structures","090202","Computer Science"
"020113","Networks and Communications","090202","Computer Science"
"020115","Computer Graphics","090203","Computer-based Information Science"
"020117","Operating Systems","090202","Computer Science"
"020119","Artificial Intelligence","090202","Computer Science"
"020199","Computer Science, n.e.c.","090299","Computer Science, Information Systems - Other"
"020301","Conceptual Modelling","090202","Computer Science"
"020303","Database Management","090203","Computer-based Information Science"
"020305","Systems Analysis and Design","090203","Computer-based Information Science"
"020307","Decision Support Systems","090203","Computer-based Information Science"
"020399","Information Systems, n.e.c.","090299","Computer Science, Information Systems - Other"
"029901","Security Science","090202","Computer Science"
"029999","Information Technology, n.e.c.","090299","Computer Science, Information Systems - Other"
"03","ENGINEERING AND RELATED TECHNOLOGIES",,
"030101","Manufacturing Engineering","060207","Industrial Engineering/technologies"
"030103","Printing","060215","Printing Engineering/technologies"
"030105","Textile Making","060216","Textiles, Soft Furnishings, Apparel Engineering/technologies"
"030107","Garment Making","110402","Clothing, Clothing Materials"
,,"110499","Apparel Sales, Services - Other"
"030109","Footwear Making","110403","Footwear, Leatherwork"
,,"110499","Apparel Sales, Services - Other"
"030111","Wood Machining and Turning","020307","Cabinet-making, Woodworking, Furniture Construction"
"030113","Cabinet Making","020307","Cabinet-making, Woodworking, Furniture Construction"
"030115","Furniture Upholstery and Renovation","020307","Cabinet-making, Woodworking, Furniture Construction"
,,"060216","Textiles, Soft Furnishings, Apparel Engineering/technologies"
"030117","Furniture Polishing","020307","Cabinet-making, Woodworking, Furniture Construction"
"030199","Manufacturing Engineering and Technology, n.e.c.","020310","Furnishing, Floor Covering"
,,"060216","Textiles, Soft Furnishings, Apparel Engineering/technologies"
"030301","Chemical Engineering","060203","Chemical/Plastics Engineering/technologies"
"030303","Mining Engineering","060211","Mining/Minerals Engineering/technologies"
"030305","Materials Engineering","010202","Forestry and Timber"
,,"060210","Metallurgical Engineering/technologies"
"030307","Food Processing Technology","010303","Animal Health Inspection"
,,"060214","Food Technology"
"030399","Process and Resources Engineering, n.e.c.","060299","Engineering and Related Technologies - Other"
"030501","Automotive Engineering","060212","Automotive Engineering/technologies"
"030503","Vehicle Mechanics","060212","Automotive Engineering/technologies"
