"ASCED Field of Education",,"Higher Education Discipline Groups",
"01","NATURAL AND PHYSICAL SCIENCES",,
"010101","Mathematics","0501","Mathematics, Statistics"
"010103","Statistics","0501","Mathematics, Statistics"
"010199","Mathematical Sciences, n.e.c.","0599","Other Mathematics, Computing"
"010301","Physics","0403","Physical/Materials Sciences"
"010303","Astronomy","0499","Other Sciences"
"010501","Organic Chemistry","0405","Chemical Sciences"
"010503","Inorganic Chemistry","0403","Physical/Materials Sciences"
,,"0405","Chemical Sciences"
"010599","Chemical Sciences, n.e.c.","0405","Chemical Sciences"
"010701","Atmospheric Sciences","0402","Earth Sciences"
"010703","Geology","0402","Earth Sciences"
"010705","Geophysics","0402","Earth Sciences"
"010707","Geochemistry","0402","Earth Sciences"
"010709","Soil Science","1101","Agriculture"
"010711","Hydrology","0702","Civil, Structural"
,,"1101","Agriculture"
"010713","Oceanography","0402","Earth Sciences"
"010799","Earth Sciences, n.e.c.","0202","Geography"
,,"0402","Earth Sciences"
"010901","Biochemistry and Cell Biology","0401","Biological Sciences"
"010903","Botany","0401","Biological Sciences"
,,"1101","Agriculture"
"010905","Ecology and Evolution","0401","Biological Sciences"
"010907","Marine Science","0402","Earth Sciences"
"010909","Genetics","0401","Biological Sciences"
"010911","Microbiology","0401","Biological Sciences"
"010913","Human Biology","0401","Biological Sciences"
"010915","Zoology","0401","Biological Sciences"
"010999","Biological Sciences, n.e.c.","0202","Geography"
,,"0401","Biological Sciences"
"019901","Medical Science","0806","Medicine, Medical Science"
"019903","Forensic Science","0499","Other Sciences"
"019905","Food Science and Biotechnology","0499","Other Sciences"
,,"1101","Agriculture"
"019907","Pharmacology","0404","Pharmacology"
"019909","Laboratory Technology","0499","Other Sciences"
"019999","Natural and Physical Sciences, n.e.c.","0499","Other Sciences"
"02","INFORMATION TECHNOLOGY",,
"020101","Formal Language Theory","0503","Computer Science"
"020103","Programming","0502","Computer-based Information Science"
"020105","Computational Theory","0503","Computer Science"
"020107","Compiler Construction","0503","Computer Science"
"020109","Algorithms","0503","Computer Science"
"020111","Data Structures","0502","Computer-based Information Science"
"020113","Networks and Communications","0503","Computer Science"
"020115","Computer Graphics","0502","Computer-based Information Science"
"020117","Operating Systems","0503","Computer Science"
"020119","Artificial Intelligence","0503","Computer Science"
"020199","Computer Science, n.e.c.","0503","Computer Science"
"020301","Conceptual Modelling","0503","Computer Science"
"020303","Database Management","0502","Computer-based Information Science"
"020305","Systems Analysis and Design","0503","Computer Science"
"020307","Decision Support Systems","0503","Computer Science"
"020399","Information Systems, n.e.c.","0502","Computer-based Information Science"
,,"0503","Computer Science"
"029901","Security Science","0503","Computer Science"
"029999","Information Technology, n.e.c.","0502","Computer-based Information Science"
,,"0503","Computer Science"
"03","ENGINEERING AND RELATED TECHNOLOGIES",,
"030101","Manufacturing Engineering","0706","Industrial, Processing"
"030103","Printing","0799","Other Engineering, Processing"
"030105","Textile Making","0799","Other Engineering, Processing"
"030107","Garment Making","0799","Other Engineering, Processing"
"030109","Footwear Making","0","No correspondence"
"030111","Wood Machining and Turning","0","No correspondence"
"030113","Cabinet Making","0","No correspondence"
"030115","Furniture Upholstery and Renovation","0","No correspondence"
"030117","Furniture Polishing","0","No correspondence"
"030199","Manufacturing Engineering and Technology, n.e.c.","0799","Other Engineering, Processing"
"030301","Chemical Engineering","0701","Chemical"
"030303","Mining Engineering","0705","Mining"
"030305","Materials Engineering","0403","Physical/Materials Sciences"
,,"0705","Mining"
"030307","Food Processing Technology","0799","Other Engineering, Processing"
"030399","Process and Resources Engineering, n.e.c.","0799","Other Engineering, Processing"
"030501","Automotive Engineering","0704","Mechanical, Automotive, Aeronautical"
"030503","Vehicle Mechanics","0704","Mechanical, Automotive, Aeronautical"
"030505","Automotive Electrics and Electronics","0704","Mechanical, Automotive, Aeronautical"
"030507","Automotive Vehicle Refinishing","0704","Mechanical, Automotive, Aeronautical"
"030509","Automotive Body Construction","0704","Mechanical, Automotive, Aeronautical"
"030511","Panel Beating","0704","Mechanical, Automotive, Aeronautical"
"030513","Upholstery and Vehicle Trimming","0704","Mechanical, Automotive, Aeronautical"
"030515","Automotive Vehicle Operations","0","No correspondence"
"030599","Automotive Engineering and Technology, n.e.c.","0","No correspondence"
"030701","Mechanical Engineering","0704","Mechanical, Automotive, Aeronautical"
"030703","Industrial Engineering","0706","Industrial, Processing"
"030705","Toolmaking","0704","Mechanical, Automotive, Aeronautical"
"030707","Metal Fitting, Turning and Machining","0704","Mechanical, Automotive, Aeronautical"
"030709","Sheetmetal Working","0704","Mechanical, Automotive, Aeronautical"
"030711","Boilermaking and Welding","0704","Mechanical, Automotive, Aeronautical"
"030713","Metal Casting and Patternmaking","0701","Chemical"
,,"0706","Industrial, Processing"
"030715","Precision Metalworking","0704","Mechanical, Automotive, Aeronautical"
"030717","Plant and Machine Operations","0704","Mechanical, Automotive, Aeronautical"
"030799","Mechanical and Industrial Engineering andTechnology, n.e.c.","0704","Mechanical, Automotive, Aeronautical"
"030901","Construction Engineering","0702","Civil, Structural"
"030903","Structural Engineering","0702","Civil, Structural"
"030905","Building Services Engineering","0702","Civil, Structural"
"030907","Water and Sanitary Engineering","0702","Civil, Structural"
"030909","Transport Engineering","0702","Civil, Structural"
"030911","Geotechnical Engineering","0702","Civil, Structural"
"030913","Ocean Engineering","0702","Civil, Structural"
"030999","Civil Engineering, n.e.c.","0702","Civil, Structural"
"031101","Surveying","1004","Surveying"
"031103","Mapping Science","1004","Surveying"
"031199","Geomatic Engineering, n.e.c.","1004","Surveying"
