"ASCED Field of Education",,"Discipline Group - VET",
"01","NATURAL AND PHYSICAL SCIENCES",,
"010101","Mathematics","0501101","Mathematics - General"
,,"0501110","Applied Mathematics"
,,"0501115","Pure Mathematics"
,,"0501120","Financial Mathematics"
,,"0501125","Engineering Mathematics"
"010103","Statistics","0501201","Statistics - General"
,,"0501210","Operations Research"
,,"0501215","Quantitative Methods"
,,"0501220","Probability Theory"
"010199","Mathematical Sciences, n.e.c.","0599999","Other Mathematics, Computing"
"010301","Physics","0403101","Physical Science - General"
,,"0403110","Optics"
,,"0403115","Electricity"
,,"0403120","Electromagnetic Theory"
,,"0403125","Atomic & Nuclear Physics"
,,"0403130","Thermodynamics"
"010303","Astronomy","0402201","Astronomy - General"
"010501","Organic Chemistry","0405115","Organic Chemistry"
"010503","Inorganic Chemistry","0405110","Inorganic Chemistry"
"010599","Chemical Sciences, n.e.c.","0405101","Chemical Science - General"
"010701","Atmospheric Sciences","0202325","Climatology"
,,"0402410","Meteorology"
"010703","Geology","0202320","Geomorphology"
,,"0402101","Geological Science - General"
,,"0402110","Mineralogy"
,,"0402130","Hydro-Geology"
,,"0402140","Exploration & Technology"
,,"0402145","Field Geology"
"010705","Geophysics","0402125","Geophysics"
,,"0402135","Seismology"
,,"0402140","Exploration & Technology"
"010707","Geochemistry","0402120","Geochemistry"
"010709","Soil Science","1101205","Soil Science"
,,"1101230","Soil & Water Survey Methods"
"010711","Hydrology","0202315","Hydrology - Geography"
,,"1101201","Soil & Water Management - General"
,,"1101215","Water Management"
,,"1101230","Soil & Water Survey Methods"
"010713","Oceanography","0402310","Oceanography"
"010799","Earth Sciences, n.e.c.","0202101","Geography - General"
,,"0202301","Physical Geography - General"
"010901","Biochemistry and Cell Biology","0401301","Biochemistry - General"
,,"0401410","Molecular Biology"
,,"0401425","Cellular Biology"
"010903","Botany","0401501","Botany - General"
,,"1101515","Plant Science & Identification"
"010905","Ecology and Evolution","0401440","Ecology"
"010907","Marine Science","0401435","Marine Biology"
,,"0402301","Marine/Nautical Science - General"
"010909","Genetics","0401430","Genetics - Biological"
"010911","Microbiology","0401101","Microbiology - General"
,,"0401110","Bacteriology"
,,"0401115","Virology"
,,"0499215","Food Microbiology"
"010913","Human Biology","0401201","Anatomy - General"
,,"0401420","Human Biology"
,,"0806250","Embryology"
,,"0809110","Human Growth & Development"
"010915","Zoology","0401701","Zoology - General"
,,"1102215","Animal Science & Technology"
"010999","Biological Sciences, n.e.c.","0202310","Biogeography"
,,"0401415","Bioscience"
"019901","Medical Science","0806201","Medical Science - General"
"019903","Forensic Science","0499999","Other Sciences"
"019905","Food Science and Biotechnology","0499201","Food Science - General"
,,"0499210","Food Chemistry"
,,"0499220","Food Preservation"
,,"0499225","Testing Of Ingredients - Food"
,,"0499235","Food Analysis"
,,"1101120","Cane Testing"
,,"1101410","Oenology"
,,"1101420","Wine Production & Evaluation"
,,"1101430","Wine Technology"
"019907","Pharmacology","0404101","Pharmacology - General"
"019909","Laboratory Technology","0499101","Laboratory Technology - General"
,,"0499110","Culture Technology"
,,"0499115","Instrumental Analysis"
,,"0499120","Field Techniques"
,,"0499125","Micro-Techniques"
,,"0499130","Biomedical Techniques"
,,"0801201","Medical Technology - General"
,,"0801215","Diagnostic Technology"
"019999","Natural and Physical Sciences, n.e.c.","0402115","Palaeontology"
,,"0499999","Other Sciences"
"02","INFORMATION TECHNOLOGY",,
"020101","Formal Language Theory","0503120","Computer Languages"
"020103","Programming","0502101","Information Science - General"
,,"0502110","Information Collection & Analysis"
,,"0502115","Storage, Retrieval & Transmission"
,,"0502310","Computer Programming"
,,"0503120","Computer Languages"
"020105","Computational Theory","0","No correspondence"
"020107","Compiler Construction","0503120","Computer Languages"
"020109","Algorithms","0","No correspondence"
"020111","Data Structures","0502101","Information Science - General"
,,"0502210","Data Structures & Communication"
"020113","Networks and Communications","0502210","Data Structures & Communication"
,,"0503115","Computer Systems & System Programs"
"020115","Computer Graphics","0502101","Information Science - General"
,,"0502110","Information Collection & Analysis"
,,"0502325","Computer Aided Design/Drafting"
"020117","Operating Systems","0502115","Storage, Retrieval & Transmission"
,,"0503125","Operating System Development"
"020119","Artificial Intelligence","0503101","Computer Science - General"
"020199","Computer Science, n.e.c.","0599999","Other Mathematics, Computing"
"020301","Conceptual Modelling","0503115","Computer Systems & System Programs"
"020303","Database Management","0502101","Information Science - General"
,,"0502115","Storage, Retrieval & Transmission"
,,"0502210","Data Structures & Communication"
,,"0502215","Data Management Systems"
"020305","Systems Analysis and Design","0503115","Computer Systems & System Programs"
"020307","Decision Support Systems","0502101","Information Science - General"
"020399","Information Systems, n.e.c.","0502120","Information Technology"
,,"0599999","Other Mathematics, Computing"
"029901","Security Science","0503101","Computer Science - General"
"029999","Information Technology, n.e.c.","0502215","Data Management Systems"
,,"0599999","Other Mathematics, Computing"
"03","ENGINEERING AND RELATED TECHNOLOGIES",,
"030101","Manufacturing Engineering","0706110","Production & Manufacturing Processes/Techniques"
,,"0706125","Computer Aided Manufacture"
,,"0706130","Robotics"
"030103","Printing","0601220","Printing - General Art"
,,"0601225","Lithography"
,,"0601230","Etching"
,,"0799210","Printing Operations"
,,"0799215","Graphic Reproduction"
,,"0799220","Binding & Finishing"
,,"0799225","Composing / Type Setting"
"030105","Textile Making","0799105","Textile Engineering"
"030107","Garment Making","0799115","Apparel Engineering"
,,"0799125","Clothing/Garment Construction"
,,"0799135","Millinery"
"030109","Footwear Making","0799130","Footwear Production"
"030111","Wood Machining and Turning","1003310","Wood Work"
,,"1103150","Timber Merchandising & Operations"
"030113","Cabinet Making","1003305","Cabinet-Making"
,,"1003315","Furniture Design & Construction"
"030115","Furniture Upholstery and Renovation","0799110","Soft Furnishings"
,,"1003320","Furniture Upholstery & Renovation"
