"FOSCHEC",,"ASCED Field of Education",
"01","AGRICULTURE, ANIMAL HUSBANDRY",,
"010101","Agriculture, Animal Husbandry - General","050000","Agriculture, Environmental and Related Studies, n.f.d."
"010201","Agriculture - General","050000","Agriculture, Environmental and Related Studies, n.f.d."
"010202","Forestry","050501","Forestry Studies"
"010203","Plant Sciences","050101","Agricultural Science"
,,"059901","Pest and Weed Control"
"010204","Soil Sciences","010709","Soil Science"
"010205","Horticulture","050301","Horticulture"
"010206","Viticulture and Oenology","019905","Food Science and Biotechnology"
,,"050303","Viticulture"
"010299","Agriculture - Other","050199","Agriculture, n.e.c."
,,"050701","Aquaculture"
,,"050799","Fisheries Studies, n.e.c."
,,"059999","Agriculture, Environmental and Related Studies, n.e.c."
"010301","Animal Husbandry","050103","Wool Science"
,,"050105","Animal Husbandry"
"010401","Agriculture Management - General","080321","Farm Management and Agribusiness"
"010402","Rural Management","080321","Farm Management and Agribusiness"
"010403","Parks and Wildlife Management","050901","Land, Parks and Wildlife Management"
"010499","Agriculture Management - Other","080321","Farm Management and Agribusiness"
"02","ARCHITECTURE, BUILDING",,
"020101","Architecture, Building - General","040000","Architecture and Building, n.f.d."
"020201","Architecture - General","040101","Architecture"
"020202","Environmental and Industrial Design","040107","Interior and Environmental Design"
"020203","Landscape Architecture","040105","Landscape Architecture"
"020299","Architecture - Other","040199","Architecture and Urban Environment, n.e.c."
"020301","Building - General","040300","Building, n.f.d."
"020302","Building Construction Technology","040301","Building Science and Technology"
,,"040303","Building Construction Management"
,,"040305","Building Surveying"
"020303","Interior Design","040107","Interior and Environmental Design"
"020304","Quantity Surveying","040307","Building Construction Economics"
"020399","Building - Other","040309","Bricklaying and Stonemasonry"
,,"040311","Carpentry and Joinery"
,,"040313","Ceiling, Wall and Floor Fixing"
,,"040315","Roof Fixing"
,,"040317","Plastering"
,,"040319","Furnishing Installation"
"020399","Building - Other","040321","Floor Coverings"
,,"040323","Glazing"
,,"040325","Painting, Decorating and Sign Writing"
,,"040327","Plumbing"
,,"040329","Scaffolding and Rigging"
,,"040399","Building, n.e.c."
"020401","Urban and Regional Planning","040103","Urban Design and Regional Planning"
"03","ARTS, HUMANITIES AND SOCIAL SCIENCES",,
"030101","Arts, Humanities and Social Sciences - General","0","No correspondence"
"030201","Humanities and Social Sciences - General","090000","Society and Culture, n.f.d."
"030202","Aboriginal Studies","090311","Indigenous Studies"
"030203","Anthropology","090303","Anthropology"
"030204","Archaeology","090307","Archaeology"
"030205","Area and Ethnic Studies","090303","Anthropology"
,,"090309","Human Geography"
,,"090399","Studies in Human Society, n.e.c."
"030206","Communications","100701","Audio Visual Studies"
,,"100703","Journalism"
,,"100705","Written Communication"
,,"100707","Verbal Communication"
,,"100799","Communication and Media Studies, n.e.c."
"030207","Counselling (not Health Counselling or Educational Counselling)","090513","Counselling"
"030208","Geography","010799","Earth Sciences, n.e.c."
,,"010999","Biological Sciences, n.e.c."
,,"090309","Human Geography"
"030209","History","090305","History"
"030210","Library and Archival Studies","091301","Librarianship and Information Management"
,,"091303","Curatorial Studies"
"030211","Literary Studies","091523","Literature"
"030212","Multicultural Studies","090399","Studies in Human Society, n.e.c."
"030213","Philosophy","091701","Philosophy"
"030214","Political Science and Government","090101","Political Science"
"030215","Psychology","090701","Psychology"
"030216","Recreation Studies","092101","Sport and Recreation Activities"
,,"092103","Sports Coaching, Officiating and Instruction"
,,"092199","Sport and Recreation, n.e.c."
"030217","Religion and Theology","091703","Religious Studies"
"030218","Social Work","090501","Social Work"
"030219","Sociology","090301","Sociology"
"030220","Welfare Studies","090515","Welfare Studies"
,,"090599","Human Welfare Studies and Services, n.e.c."
"030221","Women’s Studies","090313","Gender Specific Studies"
"030299","Humanities and Social Sciences - Other","090103","Policy Studies"
,,"090399","Studies in Human Society, n.e.c."
,,"090503","Children’s Services"
,,"090505","Youth Work"
,,"090507","Care for the Aged"
,,"090509","Care for the Disabled"
"030299","Humanities and Social Sciences - Other","090511","Residential Client Care"
,,"090799","Behavioural Science, n.e.c."
,,"099903","Criminology"
,,"099905","Security Services"
,,"099999","Society and Culture, n.e.c."
"030301","Language Studies - General","091500","Language and Literature, n.f.d."
"030302","Asian Languages","091509","Southwest Asian and North African Languages"
,,"091511","Southern Asian Languages"
,,"091513","Southeast Asian Languages"
,,"091515","Eastern Asian Languages"
"030303","European Languages","091501","English Language"
,,"091503","Northern European Languages"
,,"091505","Southern European Languages"
,,"091507","Eastern European Languages"
"030304","Linguistics","091521","Linguistics"
"030399","Language Studies - Other","091509","Southwest Asian and North African Languages"
,,"091517","Australian Indigenous Languages"
,,"091519","Translating and Interpreting"
