"FOSCTEC",,"ASCED Field of Education",
"01","LAND AND MARINE RESOURCES, ANIMAL HUSBANDRY",,
"010101","Land and Marine Resources, Animal Husbandry - General","050000","Agriculture, Environmental and Related Studies, n.f.d."
"010201","Agriculture, Forestry - General","050000","Agriculture, Environmental and Related Studies, n.f.d."
"010202","Forestry and Timber","030305","Materials Engineering"
,,"050501","Forestry Studies"
"010204","Soil Sciences","010709","Soil Science"
"010205","Horticulture - Ornamental and Utilitarian","050301","Horticulture"
"010206","Viticulture and Oenology","019905","Food Science and Biotechnology"
,,"050303","Viticulture"
"010207","Agronomy","050101","Agricultural Science"
"010299","Agriculture, Forestry - Other","050101","Agricultural Science"
,,"050199","Agriculture, n.e.c."
,,"050501","Forestry Studies"
,,"059901","Pest and Weed Control"
,,"059999","Agriculture, Environmental and Related Studies, n.e.c."
"010301","Animal Husbandry - General","050100","Agriculture, n.f.d."
"010302","Animal Farming/Breeding","050103","Wool Science"
,,"050105","Animal Husbandry"
"010303","Animal Health Inspection","030307","Food Processing Technology"
"010399","Animal Husbandry - Other","050105","Animal Husbandry"
"010401","Land, Parks and Agriculture Management - General","0","No correspondence"
"010402","Rural Management","080321","Farm Management and Agribusiness"
"010403","Parks and Wildlife Management","050901","Land, Parks and Wildlife Management"
"010404","Conservation","050999","Environmental Studies, n.e.c."
"010499","Land, Parks and Agriculture Management -","050901","Land, Parks and Wildlife Management"
,"Other","050999","Environmental Studies, n.e.c."
"010501","Agricultural/Land/Rural Services and Supplies -","050199","Agriculture, n.e.c."
,"General","059999","Agriculture, Environmental and Related Studies, n.e.c."
,,"080599","Sales and Marketing, n.e.c."
"010601","Fishing and Fisheries - General","031705","Marine Craft Operation"
,,"050701","Aquaculture"
,,"050799","Fisheries Studies, n.e.c."
"02","ARCHITECTURE, BUILDING",,
"020101","Architecture, Building - General","040000","Architecture and Building, n.f.d."
"020201","Architecture - General","040101","Architecture"
"020202","Environmental Design","040107","Interior and Environmental Design"
"020203","Landscape Architecture","040105","Landscape Architecture"
"020299","Architecture - Other","040101","Architecture"
,,"040199","Architecture and Urban Environment, n.e.c."
"020301","Building - General","040300","Building, n.f.d"
"020302","Building Technology","040301","Building Science and Technology"
,,"040303","Building Construction Management"
"020303","Interior Design/Decoration","040107","Interior and Environmental Design"
"020304","Quantity Surveying","040307","Building Construction Economics"
"020305","Bricklaying, Stonemasonry, Tile Fixing,","040309","Bricklaying and Stonemasonry"
,"Concreting","040313","Ceiling, Wall and Floor Fixing"
,,"040399","Building, n.e.c."
"020306","Building Construction","030901","Construction Engineering"
,,"040305","Building Surveying"
"020307","Cabinet-making, Woodworking, Furniture","030111","Wood Machining and Turning"
,"Construction","030113","Cabinet Making"
,,"030115","Furniture Upholstery and Renovation"
,,"030117","Furniture Polishing"
"020308","Carpentry, Joinery","040311","Carpentry and Joinery"
"020309","Ceiling, Wall, Floor and Roof Fixing, Plastering","040313","Ceiling, Wall and Floor Fixing"
,,"040315","Roof Fixing"
,,"040317","Plastering"
"020310","Furnishing, Floor Covering","030199","Manufacturing Engineering and Technology, n.e.c."
,,"040319","Furnishing Installation"
,,"040321","Floor Coverings"
"020311","Glazing","040323","Glazing"
"020312","Painting, Decorating, Signwriting","040325","Painting, Decorating and Sign Writing"
"020313","Plumbing, Gas-fitting, Draining","040327","Plumbing"
"020399","Building - Other","040329","Scaffolding and Rigging"
,,"040399","Building, n.e.c."
"020401","Urban and Regional Planning - General","030909","Transport Engineering"
,,"040103","Urban Design and Regional Planning"
"03","ARTS, HUMANITIES AND SOCIAL SCIENCES",,
"030101","Arts, Humanities and Social Sciences - General","0","No correspondence"
"030201","Humanities and Social Sciences - General","090000","Society and Culture, n.f.d."
"030202","Aboriginal Studies","090311","Indigenous Studies"
"030203","Anthropology","090303","Anthropology"
"030204","Archaeology","090307","Archaeology"
"030205","Area and Ethnic Studies","090309","Human Geography"
,,"090399","Studies in Human Society, n.e.c."
"030206","Communications, Journalism, Broadcasting","100701","Audio Visual Studies"
,,"100703","Journalism"
,,"100705","Written Communication"
,,"100707","Verbal Communication"
,,"100799","Communication and Media Studies, n.e.c."
"030207","Counselling","090513","Counselling"
"030208","Geography","010799","Earth Sciences, n.e.c."
,,"090309","Human Geography"
"030209","History","090305","History"
"030210","Library and Archival Studies","091301","Librarianship and Information Management"
,,"091303","Curatorial Studies"
"030211","Literary Studies","091523","Literature"
"030212","Multicultural Studies","090399","Studies in Human Society, n.e.c."
"030213","Philosophy","091701","Philosophy"
"030214","Political Science and Government","090101","Political Science"
"030215","Psychology","090701","Psychology"
"030216","Recreation Studies","080399","Business and Management, n.e.c."
,,"092101","Sport and Recreation Activities"
,,"092103","Sports Coaching, Officiating and Instruction"
,,"092199","Sport and Recreation, n.e.c."
"030217","Religion and Theology","091703","Religious Studies"
"030218","Social Work","090501","Social Work"
"030219","Sociology","090301","Sociology"
,,"090309","Human Geography"
"030220","Welfare Studies","090515","Welfare Studies"
,,"090599","Human Welfare Studies and Services, n.e.c."
"030221","Women’s Studies","090313","Gender Specific Studies"
"030299","Humanities and Social Sciences - Other","090103","Policy Studies"
,,"090799","Behavioural Science, n.e.c."
,,"099901","Family and Consumer Studies"
,,"099903","Criminology"
,,"099905","Security Services"
,,"099999","Society and Culture, n.e.c."
"030301","Language Studies - General","091500","Language and Literature, n.f.d."
"030302","Asian Languages","091509","Southwest Asian and North African Languages"
,,"091511","Southern Asian Languages"
,,"091513","Southeast Asian Languages"
,,"091515","Eastern Asian Languages"
"030303","European Languages other than English","091503","Northern European Languages"
,,"091505","Southern European Languages"
,,"091507","Eastern European Languages"
"030304","Linguistics","091521","Linguistics"
"030305","English Language","091501","English Language"
"030306","Languages other than English, European and Asian","091509","Southwest Asian and North African Languages"
,,"091517","Australian Indigenous Languages"
,,"091599","Language and Literature, n.e.c."
"030307","Translating","091519","Translating and Interpreting"
"030399","Language Studies - Other","091599","Language and Literature, n.e.c."
"030401","Visual and Performing Arts - General","100000","Creative Arts, n.f.d."
"030402","Conservation of Art and Cultural Material","091303","Curatorial Studies"
"030403","Crafts, Ornaments","100305","Crafts"
,,"100307","Jewellery Making"
,,"100309","Floristry"
"030404","Dance","100105","Dance"
"030405","Dramatic Arts","100103","Drama and Theatre Studies"
"030406","Film and Photographic Arts","100303","Photography"
,,"100701","Audio Visual Studies"
"030407","Fine Arts","100301","Fine Arts"
"030408","Graphic Arts and Design","100501","Graphic Arts and Design Studies"
"030409","Music","100101","Music"
"030410","Fashion Design","100505","Fashion Design"
"030499","Visual and Performing Arts - Other","100199","Performing Arts, n.e.c."
,,"100399","Visual Arts and Crafts, n.e.c."
,,"100503","Textile Design"
,,"100599","Graphic and Design Studies, n.e.c."
,,"109999","Creative Arts, n.e.c."
"04","BUSINESS, ADMINISTRATION, ECONOMICS",,
"040101","Business, Administration, Economics - General","0","No correspondence"
"040201","Business, Administration, Management - General","080000","Management and Commerce, n.f.d."
"040202","Accounting","080101","Accounting"
"040203","Administration, General Management and Supervision","080301","Business Management"
,,"080303","Human Resource Management"
,,"080307","Organisation Management"
,,"080315","Project Management"
,,"080317","Quality Management"
"040204","Banking, Finance, Investment","081101","Banking and Finance"
,,"081105","Investment and Securities"
"040205","Business/Administration Data Processing","080905","Practical Computing Skills"
"040206","Industrial Relations","080309","Industrial Relations"
"040208","Marketing, Distribution, Import/Export","080311","International Business"
,,"080505","Marketing"
,,"089901","Purchasing, Warehousing and Distribution"
"040209","Personnel Management and Development","080303","Human Resource Management"
"040210","Public Administration","080313","Public and Health Care Administration"
"040211","Secretarial, Word-Processing, Clerical","080901","Secretarial and Clerical Studies"
,,"080903","Keyboard Skills"
,,"080905","Practical Computing Skills"
"040212","Valuation and Real Estate","080503","Real Estate"
,,"089903","Valuation"
"040213","Actuarial Studies, Insurance","081103","Insurance and Actuarial Studies"
"040214","Advertising, Public Relations","080507","Advertising"
,,"080509","Public Relations"
"040215","Home Management","099901","Family and Consumer Studies"
"040216","Small Business Management","080301","Business Management"
"040299","Business, Administration, Management - Other","080305","Personal Management Training"
,,"080307","Organisation Management"
,,"080399","Business and Management, n.e.c."
,,"080599","Sales and Marketing, n.e.c."
,,"080999","Office Studies, n.e.c."
,,"081199","Banking, Finance and Related Fields, n.e.c."
,,"089999","Management and Commerce, n.e.c."
"040301","Economics - General","091901","Economics"
"040302","Agricultural Economics","091901","Economics"
"040303","Economic History","090305","History"
"040304","Economic Statistics, Econometrics","091903","Econometrics"
"040399","Economics - Other","091901","Economics"
"05","EDUCATION",,
"050101","Education - General","070000","Education, n.f.d."
"050201","Initial School/TAFE Level Teacher Education - General","070100","Teacher Education, n.f.d."
"050202","Initial Early Childhood Teacher Education","070101","Teacher Education: Early Childhood"
"050203","Initial Primary Teacher Education","070103","Teacher Education: Primary"
"050204","Initial Secondary Teacher Education","070105","Teacher Education: Secondary"
"050205","Initial TAFE Teacher Education","070109","Teacher Education: Vocational Education and Training"
"050206","Initial Special Teacher Education","070113","Teacher Education: Special Education"
"050299","Initial School/TAFE Level Teacher Education - Other","070199","Teacher Education, n.e.c."
"050301","Post-initial School/TAFE Level Teacher Education - General","070100","Teacher Education, n.f.d."
"050302","Post-initial Early Childhood Teacher Education","070101","Teacher Education: Early Childhood"
"050303","Post-initial Primary Teacher Education","070103","Teacher Education: Primary"
"050304","Post-initial Secondary Teacher Education","070105","Teacher Education: Secondary"
"050305","Post-initial TAFE Teacher Education","070109","Teacher Education: Vocational Education and Training"
"050306","Post-initial Special Teacher Education","070113","Teacher Education: Special Education"
"050399","Post-initial School/TAFE Level Teacher Education - Other","070199","Teacher Education, n.e.c."
"050401","Education Other Than Teacher/trainer","070000","Education, n.f.d."
,"Education - General",,
"050402","Educational Administration","080313","Public and Health Care Administration"
"050403","Educational Counselling","090513","Counselling"
"050404","Education Media","100701","Audio Visual Studies"
,,"100703","Journalism"
,,"100799","Communication and Media Studies, n.e.c."
"050499","Education Other Than Teacher/trainer","070301","Curriculum Studies"
,"Education - Other","070303","Education Studies"
,,"079999","Education, n.e.c."
"050501","Other Teacher/trainer Education - General","070100","Teacher Education, n.f.d."
"050502","Nurse and Health Educators Education","070117","Nursing Education Teacher Training"
"050503","Tertiary Educator Education","070111","Teacher Education: Higher Education"
"050599","Other Teacher/trainer Education - Other","070107","Teacher-Librarianship"
,,"070115","English as a Second Language Teaching"
,,"070199","Teacher Education, n.e.c."
"06","ENGINEERING, SURVEYING",,
"060101","Engineering, Surveying - General","030000","Engineering and Related Technologies, n.f.d."
"060201","Engineering and Related Technologies - General","030000","Engineering and Related Technologies, n.f.d."
"060202","Aeronautical Engineering/technologies","031501","Aerospace Engineering"
,,"031503","Aircraft Maintenance Engineering"
,,"031599","Aerospace Engineering and Technology, n.e.c."
"060203","Chemical/Plastics Engineering/technologies","030301","Chemical Engineering"
,,"030717","Plant and Machine Operations"
"060204","Civil, Structural Engineering/technologies","030717","Plant and Machine Operations"
,,"030901","Construction Engineering"
,,"030903","Structural Engineering"
,,"030905","Building Services Engineering"
,,"030907","Water and Sanitary Engineering"
,,"030909","Transport Engineering"
,,"030911","Geotechnical Engineering"
,,"030913","Ocean Engineering"
,,"030999","Civil Engineering, n.e.c."
"060205","Electrical Engineering/technologies","030717","Plant and Machine Operations"
,,"031301","Electrical Engineering"
,,"031311","Powerline Installation and Maintenance"
,,"031313","Electrical Fitting, Electrical Mechanics"
,,"031399","Electrical and Electronic Engineering and Technology, n.e.c."
"060206","Electronic, Computer, Communications Engineering/technologies","030717","Plant and Machine Operations"
,,"031303","Electronic Engineering"
,,"031305","Computer Engineering"
,,"031307","Communications Technologies"
,,"031309","Communications Equipment Installation and Maintenance"
,,"031317","Electronic Equipment Servicing"
,,"031399","Electrical and Electronic Engineering and Technology, n.e.c."
"060207","Industrial Engineering/technologies","030101","Manufacturing Engineering"
,,"030703","Industrial Engineering"
,,"030717","Plant and Machine Operations"
"060208","Marine Engineering/technologies","031701","Maritime Engineering"
,,"031703","Marine Construction"
"060209","Mechanical Engineering/technologies, Fabrication","030701","Mechanical Engineering"
,,"030705","Toolmaking"
,,"030707","Metal Fitting, Turning and Machining"
,,"030709","Sheetmetal Working"
,,"030711","Boilermaking and Welding"
,,"030799","Mechanical and Industrial Engineering and Technology, n.e.c."
"060210","Metallurgical Engineering/technologies","030305","Materials Engineering"
,,"030713","Metal Casting and Patternmaking"
,,"030717","Plant and Machine Operations"
"060211","Mining/Minerals Engineering/technologies","030303","Mining Engineering"
,,"030717","Plant and Machine Operations"
"060212","Automotive Engineering/technologies","030501","Automotive Engineering"
,,"030503","Vehicle Mechanics"
,,"030505","Automotive Electrics and Electronics"
,,"030507","Automotive Vehicle Refinishing"
,,"030509","Automotive Body Construction"
,,"030511","Panel Beating"
,,"030513","Upholstery and Vehicle Trimming"
,,"030599","Automotive Engineering and Technology, n.e.c."
"060213","Environmental Engineering/technologies","031315","Refrigeration and Air Conditioning Mechanics"
"060214","Food Technology","030307","Food Processing Technology"
"060215","Printing Engineering/technologies","030103","Printing"
"060216","Textiles, Soft Furnishings, Apparel Engineering/technologies","030105","Textile Making"
,,"030115","Furniture Upholstery and Renovation"
,,"030199","Manufacturing Engineering and Technology, n.e.c."
"060299","Engineering and Related Technologies - Other","030399","Process and Resources Engineering, n.e.c."
,,"030715","Precision Metalworking"
,,"031799","Maritime Engineering and Technology, n.e.c."
,,"039903","Biomedical Engineering"
,,"039905","Fire Technology"
,,"039999","Engineering and Related Technologies, n.e.c."
"060301","Surveying - General","031100","Geomatic Engineering, n.f.d."
"060302","Cartography","031103","Mapping Science"
"060303","Surveying, Survey Drafting","031101","Surveying"
