"Discipline Group - VET",,"ASCED Field of Education",
"01","HUMANITIES",,
"0101101","English Language - General","091501","English Language"
"0101115","English Grammar","091501","English Language"
"0101201","Literary Studies - General","091523","Literature"
"0101210","American Literature","091523","Literature"
"0101215","Comparative Literature","091523","Literature"
"0101220","Creative Writing","100705","Written Communication"
"0101225","English Literature","091523","Literature"
"0101230","Literary Criticism","091523","Literature"
"0101235","Poetry & Prose","091523","Literature"
"0101240","Australian Literature","091523","Literature"
"0101301","Linguistics - General","091521","Linguistics"
"0102101","History - General","090305","History"
"0102201","Archaeology - General","090307","Archaeology"
"0103101","Philosophy - General","091701","Philosophy"
"0103110","Ethics","091701","Philosophy"
"0104101","Ethnic/Area Studies - General","090399","Studies in Human Society, n.e.c."
"0104201","Multicultural Studies - General","090399","Studies in Human Society, n.e.c."
"0104301","Aboriginal Studies - General","090311","Indigenous Studies"
"0104310","Aboriginal Communities","090311","Indigenous Studies"
"0104315","Aboriginal Politics & Administration","090311","Indigenous Studies"
"0104320","Aboriginal History","090311","Indigenous Studies"
"0104325","Aboriginal Languages - Studies Of","091517","Australian Indigenous Languages"
"0104330","Aboriginal Art & Culture","090311","Indigenous Studies"
"0104335","Aboriginal Land Management","090311","Indigenous Studies"
"0104401","Australian Studies - General","090399","Studies in Human Society, n.e.c."
"0104410","Australian Culture","090399","Studies in Human Society, n.e.c."
"0105105","Chinese - Language","091515","Eastern Asian Languages"
"0105110","Japanese - Language","091515","Eastern Asian Languages"
"0105115","Indonesian - Language","091513","Southeast Asian Languages"
"0105120","Malaysian - Language","091513","Southeast Asian Languages"
"0105125","Vietnamese - Language","091513","Southeast Asian Languages"
"0105130","Filipino - Language","091513","Southeast Asian Languages"
"0105199","Other Asian Language","091509","Southwest Asian and North African Languages"
,,"091511","Southern Asian Languages"
,,"091513","Southeast Asian Languages"
,,"091515","Eastern Asian Languages"
"0105205","French - Language","091505","Southern European Languages"
"0105210","Greek - Language","091505","Southern European Languages"
"0105215","German - Language","091503","Northern European Languages"
"0105220","Italian - Language","091505","Southern European Languages"
"0105225","Spanish - Language","091505","Southern European Languages"
"0105230","Russian - Language","091507","Eastern European Languages"
"0105235","Polish - Language","091507","Eastern European Languages"
"0105240","Dutch - Language","091503","Northern European Languages"
"0105245","Croatian/Serbian - Language","091507","Eastern European Languages"
"0105250","Yugoslavian - Language","091507","Eastern European Languages"
"0105255","Latvian - Language","091507","Eastern European Languages"
"0105299","Other European Language Other Than English","091503","Northern European Languages"
,,"091505","Southern European Languages"
,,"091507","Eastern European Languages"
"0105301","Languages Other Than English, European &","091509","Southwest Asian and North African Languages"
,"Asian - General","091599","Language and Literature, n.e.c."
"0105310","Aboriginal Language - Speaking","091517","Australian Indigenous Languages"
"0105315","Languages For The Hearing/Speech Impaired","091599","Language and Literature, n.e.c."
"0105401","Interpreting & Translating Languages - General","091519","Translating and Interpreting"
"0106101","Communication Studies - General","100799","Communication and Media Studies, n.e.c."
"0106110","Oral Communication","100707","Verbal Communication"
"0106115","Written Communication","100705","Written Communication"
"0106120","Public Speaking","100707","Verbal Communication"
"0106125","Debating","100707","Verbal Communication"
"0106205","Journalism","100703","Journalism"
"0106210","Broadcasting","100701","Audio Visual Studies"
"0106215","Current Affairs","100703","Journalism"
"0107101","Religious Studies - General","091703","Religious Studies"
"0107110","Theology","091703","Religious Studies"
"0199999","Other Humanities","099999","Society and Culture, n.e.c."
"02","SOCIAL STUDIES",,
"0201101","Psychology - General","090701","Psychology"
,,"090799","Behavioural Science, n.e.c."
"0202101","Geography - General","010799","Earth Sciences, n.e.c."
,,"090309","Human Geography"
"0202201","Human Geography - General","090309","Human Geography"
"0202210","Demography","090309","Human Geography"
"0202215","Political Geography","090309","Human Geography"
"0202220","Economic Geography","090309","Human Geography"
"0202225","Social Geography","090309","Human Geography"
"0202230","Urban Geography","090309","Human Geography"
"0202301","Physical Geography - General","010799","Earth Sciences, n.e.c."
"0202310","Biogeography","010999","Biological Sciences, n.e.c."
"0202315","Hydrology - Geography","010711","Hydrology"
"0202320","Geomorphology","010703","Geology"
"0202325","Climatology","010701","Atmospheric Sciences"
"0203101","Library/Archival Studies - General","091301","Librarianship and Information Management"
"0203110","Library Administration","091301","Librarianship and Information Management"
"0204101","Welfare - General","090505","Youth Work"
,,"090515","Welfare Studies"
"0204110","Community Development","090599","Human Welfare Studies and Services, n.e.c."
"0204201","Counselling - General","090513","Counselling"
"0204210","Vocational Counselling","090513","Counselling"
"0204215","Social/Welfare Counselling","090513","Counselling"
"0204301","Social Work - General","090501","Social Work"
"0204310","Social Welfare Policy","090103","Policy Studies"
"0204315","Social Agency Administration","080313","Public and Health Care Administration"
"0206101","Political Science - General","090101","Political Science"
,,"090103","Policy Studies"
"0206110","Politics","090101","Political Science"
"0206201","National, State Local Government Institutions - General","090101","Political Science"
"0206210","International Inter-Government Institutions","090101","Political Science"
"0207101","Sociology - General","090301","Sociology"
"0207201","Anthropology - General","090303","Anthropology"
"0207210","Ethnology","090303","Anthropology"
"0207301","Women’s Studies - General","090313","Gender Specific Studies"
"0207310","History Of Women In Society","090313","Gender Specific Studies"
"0207315","Women & Politics","090313","Gender Specific Studies"
"0207320","Women & Culture","090313","Gender Specific Studies"
"0207325","Women & Work","090313","Gender Specific Studies"
"0299999","Other Social Studies","090399","Studies in Human Society, n.e.c."
,,"099905","Security Services"
,,"099999","Society and Culture, n.e.c."
"03","EDUCATION",,
